2016-08-18 20:51:25.749023|INFO    |VirtualServer |  1| listening on 0.0.0.0:9987
2016-08-18 20:51:33.231445|INFO    |VirtualServerBase|  1| client connected 'wagex'(id:6) from 70.168.122.19:55734
2016-08-18 21:00:59.482421|INFO    |VirtualServerBase|  1| client connected 'headcrabaregood'(id:633) from 73.253.129.160:59083
2016-08-18 21:01:22.077148|INFO    |VirtualServerBase|  1| client connected 'nwarner426'(id:557) from 75.134.147.127:53512
2016-08-18 21:09:28.936523|INFO    |VirtualServer |  1| query client connected 'serveradmin from 70.168.122.19:50777'(id:1)
2016-08-18 21:27:08.439453|INFO    |VirtualServerBase|  1| client connected 'Hank(Karl Arnet)'(id:648) from 74.76.214.38:64405
2016-08-18 22:44:31.351562|INFO    |VirtualServerBase|  1| client connected 'Winter'(id:881) from 50.163.35.215:43911
2016-08-18 22:51:38.106445|INFO    |VirtualServerBase|  1| client connected 'Outcast Hero'(id:823) from 74.130.144.222:50686
2016-08-18 22:51:42.286132|INFO    |VirtualServerBase|  1| client disconnected 'Outcast Hero'(id:823) reason 'reasonmsg=leaving'
2016-08-18 23:30:36.891601|INFO    |VirtualServerBase|  1| client connected 'Skit Rombony'(id:733) from 98.252.66.150:55150
2016-08-18 23:32:58.071289|INFO    |VirtualServerBase|  1| client connected 'Rudy'(id:100) from 68.12.148.200:51697
2016-08-18 23:43:15.603515|INFO    |VirtualServerBase|  1| client connected 'ross'(id:397) from 107.129.31.5:22172
2016-08-18 23:54:33.374023|INFO    |VirtualServerBase|  1| client disconnected 'Winter'(id:881) reason 'reasonmsg=leaving'
2016-08-19 00:37:28.112304|INFO    |VirtualServerBase|  1| client connected 'The Black Whale'(id:505) from 73.89.118.117:58646
2016-08-19 01:00:30.016601|INFO    |VirtualServerBase|  1| client connected 'Winter'(id:881) from 50.163.35.215:43911
2016-08-19 01:07:42.810546|INFO    |VirtualServerBase|  1| client disconnected 'Rudy'(id:100) reason 'reasonmsg=connection lost'
2016-08-19 01:33:49.079101|INFO    |VirtualServerBase|  1| client connected 'Rudy'(id:100) from 68.12.148.200:64525
2016-08-19 01:49:24.149414|INFO    |VirtualServerBase|  1| client connected 'headcrabsaregood'(id:848) from 73.253.129.160:53084
2016-08-19 02:33:36.186523|INFO    |VirtualServerBase|  1| client disconnected 'The Black Whale'(id:505) reason 'reasonmsg=leaving'
2016-08-19 02:35:13.433593|INFO    |VirtualServerBase|  1| client connected 'Francis'(id:899) from 96.48.29.218:61352
2016-08-19 02:35:17.395507|INFO    |VirtualServerBase|  1| client disconnected 'Francis'(id:899) reason 'reasonmsg=leaving'
2016-08-19 02:35:18.604492|INFO    |VirtualServerBase|  1| client connected 'Francis'(id:899) from 96.48.29.218:61352
2016-08-19 02:35:19.393554|INFO    |VirtualServerBase|  1| client disconnected 'Francis'(id:899) reason 'reasonmsg=leaving'
2016-08-19 02:59:49.129882|INFO    |VirtualServerBase|  1| query client disconnected 'serveradmin from 70.168.122.19:50777'(id:1) reason 'reasonmsg=disconnecting'
