2018-05-02 21:06:57.804783|INFO    |VirtualServer |  1| listening on 0.0.0.0:9987
2018-05-02 21:08:39.394336|INFO    |VirtualServerBase|  1| client connected 'ross'(id:1252) from 70.168.122.127:57029
2018-05-02 21:08:42.816208|INFO    |VirtualServerBase|  1| client disconnected 'ross'(id:1252) reason 'reasonmsg=leaving'
2018-05-03 00:20:44.501624|INFO    |VirtualServerBase|  1| client connected 'Ursus'(id:949) from 76.189.40.156:57619
2018-05-03 00:21:29.408782|INFO    |VirtualServerBase|  1| client disconnected 'Ursus'(id:949) reason 'reasonmsg=leaving'
2018-05-03 12:22:53.343405|INFO    |VirtualServerBase|  1| client connected 'ross'(id:1252) from 70.168.122.127:25650
2018-05-03 12:23:25.126044|INFO    |VirtualServerBase|  1| server was edited by 'ross'(id:1252)
2018-05-03 17:02:56.074975|INFO    |VirtualServerBase|  1| client disconnected 'ross'(id:1252) reason 'reasonmsg=leaving'
2018-05-03 18:57:35.370503|INFO    |VirtualServerBase|  1| client connected 'Somnus'(id:785) from 173.91.151.15:62351
2018-05-03 18:57:43.496579|INFO    |VirtualServerBase|  1| client disconnected 'Somnus'(id:785) reason 'reasonmsg=lata'
2018-05-03 21:28:09.388569|INFO    |VirtualServerBase|  1| client connected 'Ursus'(id:949) from 76.189.40.156:52262
2018-05-03 21:28:16.906632|INFO    |VirtualServerBase|  1| client disconnected 'Ursus'(id:949) reason 'reasonmsg=leaving'
2018-05-03 22:41:48.287525|INFO    |VirtualServerBase|  1| client connected 'Somnus'(id:785) from 173.91.151.15:54083
2018-05-03 22:41:52.772215|INFO    |VirtualServerBase|  1| client disconnected 'Somnus'(id:785) reason 'reasonmsg=lata'
2018-05-04 01:05:45.914054|INFO    |VirtualServerBase|  1| client connected 'Somnus'(id:785) from 173.91.151.15:61448
2018-05-04 02:57:03.740707|INFO    |VirtualServerBase|  1| client connected 'Kingkludge'(id:1340) from 73.69.46.107:54040
2018-05-04 02:57:12.594599|INFO    |VirtualServerBase|  1| client disconnected 'Kingkludge'(id:1340) reason 'reasonmsg=leaving'
2018-05-04 05:14:06.447460|INFO    |VirtualServerBase|  1| client disconnected 'Somnus'(id:785) reason 'reasonmsg=lata'
2018-05-04 20:42:28.797280|INFO    |VirtualServerBase|  1| client connected 'Somnus'(id:785) from 173.91.151.15:52501
2018-05-04 23:17:36.709236|INFO    |VirtualServerBase|  1| client disconnected 'Somnus'(id:785) reason 'reasonmsg=connection lost'
2018-05-05 00:22:11.669079|INFO    |VirtualServerBase|  1| client connected 'Somnus'(id:785) from 173.91.151.15:50824
2018-05-05 00:34:59.226350|INFO    |VirtualServerBase|  1| client disconnected 'Somnus'(id:785) reason 'reasonmsg=lata'
2018-05-05 20:44:46.865250|INFO    |VirtualServerBase|  1| client connected 'Ursus'(id:949) from 76.189.40.156:49771
2018-05-05 23:26:56.476424|INFO    |VirtualServerBase|  1| client connected 'Dark'(id:767) from 173.91.223.150:59560
2018-05-06 00:43:42.691361|INFO    |VirtualServerBase|  1| client disconnected 'Dark'(id:767) reason 'reasonmsg=leaving'
2018-05-06 00:57:22.666836|INFO    |VirtualServerBase|  1| client connected 'Somnus'(id:785) from 173.91.151.15:59867
2018-05-06 03:07:19.924674|INFO    |VirtualServerBase|  1| client disconnected 'Ursus'(id:949) reason 'reasonmsg=leaving'
2018-05-06 03:07:24.877814|INFO    |VirtualServerBase|  1| client disconnected 'Somnus'(id:785) reason 'reasonmsg=lata'
2018-05-06 19:04:05.029870|INFO    |VirtualServerBase|  1| client connected 'Somnus'(id:785) from 173.91.151.15:50771
2018-05-06 20:43:01.573523|INFO    |VirtualServerBase|  1| client disconnected 'Somnus'(id:785) reason 'reasonmsg=lata'
2018-05-07 00:22:09.851617|INFO    |VirtualServerBase|  1| client connected 'Ursus'(id:949) from 76.189.40.156:59662
2018-05-07 00:44:15.554368|INFO    |VirtualServerBase|  1| client connected 'Somnus'(id:785) from 173.91.151.15:61012
2018-05-07 04:09:29.069292|INFO    |VirtualServerBase|  1| client disconnected 'Ursus'(id:949) reason 'reasonmsg=leaving'
2018-05-07 04:09:38.850565|INFO    |VirtualServerBase|  1| client disconnected 'Somnus'(id:785) reason 'reasonmsg=lata'
2018-05-07 12:16:13.921068|INFO    |VirtualServerBase|  1| client connected 'Ursus'(id:949) from 76.189.40.156:53075
2018-05-07 20:28:53.934749|INFO    |VirtualServerBase|  1| client disconnected 'Ursus'(id:949) reason 'reasonmsg=connection lost'
2018-05-08 00:06:33.416987|INFO    |VirtualServerBase|  1| client connected 'Winter'(id:1341) from 76.100.22.114:57217
2018-05-08 01:04:42.359536|INFO    |VirtualServerBase|  1| client disconnected 'Winter'(id:1341) reason 'reasonmsg=Community Wide Banned'
2018-05-08 02:35:40.587268|INFO    |VirtualServerBase|  1| client connected 'Dark'(id:767) from 173.91.223.150:63313
2018-05-08 02:36:34.700795|INFO    |VirtualServerBase|  1| client disconnected 'Dark'(id:767) reason 'reasonmsg=leaving'
2018-05-08 14:01:59.845205|INFO    |VirtualServerBase|  1| client connected 'Ursus'(id:949) from 76.189.40.156:53754
2018-05-08 14:17:43.620390|INFO    |VirtualServerBase|  1| client disconnected 'Ursus'(id:949) reason 'reasonmsg=leaving'
2018-05-08 14:49:22.557352|INFO    |VirtualServerBase|  1| client connected 'Ursus'(id:949) from 173.91.211.231:53754
2018-05-08 15:08:46.306393|INFO    |VirtualServerBase|  1| client disconnected 'Ursus'(id:949) reason 'reasonmsg=leaving'
2018-05-08 18:55:40.741422|INFO    |VirtualServerBase|  1| client connected 'Ursus'(id:949) from 173.91.211.231:53754
2018-05-08 18:57:46.153019|INFO    |VirtualServerBase|  1| client connected 'Vish'(id:349) from 24.164.121.7:54027
2018-05-08 19:50:22.503909|INFO    |VirtualServerBase|  1| client disconnected 'Vish'(id:349) reason 'reasonmsg=leaving'
2018-05-08 22:18:34.789578|INFO    |VirtualServerBase|  1| client disconnected 'Ursus'(id:949) reason 'reasonmsg=leaving'
2018-05-08 23:31:14.026782|INFO    |VirtualServerBase|  1| client connected 'Ursus'(id:949) from 173.91.211.231:53754
2018-05-09 01:33:07.634413|INFO    |VirtualServerBase|  1| client connected 'Somnus'(id:785) from 173.91.151.15:53081
2018-05-09 01:34:09.307489|INFO    |VirtualServerBase|  1| client disconnected 'Somnus'(id:785) reason 'reasonmsg=connection lost'
2018-05-09 01:34:18.416860|INFO    |VirtualServerBase|  1| client connected 'Somnus'(id:785) from 173.91.151.15:53081
2018-05-09 01:38:08.888717|INFO    |VirtualServerBase|  1| client disconnected 'Ursus'(id:949) reason 'reasonmsg=leaving'
2018-05-09 03:35:40.447906|INFO    |VirtualServerBase|  1| client disconnected 'Somnus'(id:785) reason 'reasonmsg=lata'
2018-05-09 22:45:24.293044|INFO    |VirtualServerBase|  1| client connected 'Somnus'(id:785) from 173.91.151.15:56799
2018-05-09 22:45:27.686838|INFO    |VirtualServerBase|  1| client disconnected 'Somnus'(id:785) reason 'reasonmsg=lata'
2018-05-10 01:27:42.431678|INFO    |VirtualServerBase|  1| client connected 'TeamSpeakUser'(id:1342) from 68.204.172.62:56859
2018-05-10 02:00:35.627955|INFO    |VirtualServerBase|  1| client disconnected 'LongDongHmong'(id:1342) reason 'reasonmsg=leaving'
2018-05-11 19:45:42.489778|INFO    |VirtualServerBase|  1| client connected 'Somnus'(id:785) from 173.91.151.15:64972
2018-05-12 02:16:29.580102|INFO    |VirtualServerBase|  1| client disconnected 'Somnus'(id:785) reason 'reasonmsg=lata'
2018-05-12 19:57:28.516160|INFO    |VirtualServerBase|  1| client connected 'Somnus'(id:785) from 173.91.151.15:55111
2018-05-12 21:30:42.035232|INFO    |VirtualServerBase|  1| client connected 'Dark'(id:767) from 173.91.223.150:52455
2018-05-12 22:07:21.035518|INFO    |VirtualServerBase|  1| client disconnected 'Dark'(id:767) reason 'reasonmsg=leaving'
2018-05-12 22:25:48.440865|INFO    |VirtualServerBase|  1| client disconnected 'Somnus'(id:785) reason 'reasonmsg=lata'
2018-05-12 23:36:06.997711|INFO    |VirtualServerBase|  1| client connected 'Ursus'(id:949) from 76.189.40.156:53754
2018-05-13 02:55:33.867820|INFO    |VirtualServerBase|  1| client disconnected 'Ursus'(id:949) reason 'reasonmsg=leaving'
2018-05-13 21:59:16.743795|INFO    |VirtualServerBase|  1| client connected 'Somnus'(id:785) from 173.91.151.15:53973
2018-05-13 21:59:22.080779|INFO    |VirtualServerBase|  1| client disconnected 'Somnus'(id:785) reason 'reasonmsg=lata'
2018-05-14 00:03:51.775454|INFO    |VirtualServerBase|  1| client connected 'Barry McCockiner'(id:1342) from 68.205.254.11:56146
2018-05-14 00:41:55.148235|INFO    |VirtualServerBase|  1| client connected 'Vish'(id:349) from 24.164.121.7:51882
2018-05-14 00:44:47.306145|INFO    |VirtualServerBase|  1| client connected 'Ursus'(id:949) from 76.189.40.156:51444
2018-05-14 01:41:54.746713|INFO    |VirtualServerBase|  1| client connected 'Somnus'(id:785) from 173.91.151.15:61246
2018-05-14 04:29:18.099025|INFO    |VirtualServerBase|  1| client disconnected 'Barry McCockiner'(id:1342) reason 'reasonmsg=leaving'
2018-05-14 04:43:13.745866|INFO    |VirtualServerBase|  1| client disconnected 'Ursus'(id:949) reason 'reasonmsg=leaving'
2018-05-14 07:24:22.447587|INFO    |VirtualServerBase|  1| client disconnected 'Vish'(id:349) reason 'reasonmsg=leaving'
2018-05-14 07:24:37.530931|INFO    |VirtualServerBase|  1| client connected 'Vish'(id:349) from 24.164.121.7:55914
2018-05-14 08:25:58.521412|INFO    |VirtualServerBase|  1| client disconnected 'Somnus'(id:785) reason 'reasonmsg=lata'
2018-05-14 13:40:46.086308|INFO    |VirtualServerBase|  1| client connected 'Ursus'(id:949) from 76.189.40.156:58587
2018-05-14 17:42:09.424848|INFO    |VirtualServerBase|  1| client connected 'Somnus'(id:785) from 173.91.151.15:49366
2018-05-14 23:07:32.697592|INFO    |VirtualServerBase|  1| client disconnected 'Ursus'(id:949) reason 'reasonmsg=leaving'
2018-05-14 23:07:51.546588|INFO    |VirtualServerBase|  1| client connected 'Ursus'(id:949) from 76.189.40.156:58587
2018-05-14 23:46:26.862847|INFO    |VirtualServerBase|  1| client disconnected 'Somnus'(id:785) reason 'reasonmsg=lata'
2018-05-15 03:25:33.321870|INFO    |VirtualServerBase|  1| client disconnected 'Ursus'(id:949) reason 'reasonmsg=connection lost'
2018-05-15 03:25:34.415638|INFO    |VirtualServerBase|  1| client disconnected 'Vish'(id:349) reason 'reasonmsg=connection lost'
2018-05-15 03:27:29.139289|INFO    |VirtualServerBase|  1| client connected 'Ursus'(id:949) from 76.189.40.156:58587
2018-05-15 03:27:31.764296|INFO    |VirtualServerBase|  1| client connected 'Vish'(id:349) from 24.164.121.7:55914
2018-05-15 05:03:38.206122|INFO    |VirtualServerBase|  1| client disconnected 'Ursus'(id:949) reason 'reasonmsg=leaving'
2018-05-15 06:16:22.316306|INFO    |VirtualServerBase|  1| client connected 'Somnus'(id:785) from 173.91.151.15:50048
2018-05-15 09:06:23.691809|INFO    |VirtualServerBase|  1| client disconnected 'Somnus'(id:785) reason 'reasonmsg=lata'
2018-05-15 20:49:22.435484|INFO    |VirtualServerBase|  1| client disconnected 'Vish'(id:349) reason 'reasonmsg=connection lost'
2018-05-16 01:10:47.898662|INFO    |VirtualServerBase|  1| client connected 'Dark'(id:767) from 173.91.223.150:58147
2018-05-16 01:10:53.606940|INFO    |VirtualServerBase|  1| client disconnected 'Dark'(id:767) reason 'reasonmsg=leaving'
2018-05-16 02:17:32.799170|INFO    |VirtualServerBase|  1| client connected 'Somnus'(id:785) from 173.91.151.15:60233
2018-05-16 02:18:23.271781|INFO    |VirtualServerBase|  1| client disconnected 'Somnus'(id:785) reason 'reasonmsg=lata'
2018-05-16 03:12:37.106268|INFO    |VirtualServerBase|  1| client connected 'Vish'(id:349) from 24.164.121.7:60975
2018-05-16 04:02:39.255969|INFO    |VirtualServerBase|  1| client connected 'Somnus'(id:785) from 173.91.151.15:57834
2018-05-16 07:32:04.765062|INFO    |VirtualServerBase|  1| client disconnected 'Somnus'(id:785) reason 'reasonmsg=lata'
2018-05-16 20:28:00.935973|INFO    |VirtualServerBase|  1| client connected 'Somnus'(id:785) from 173.91.151.15:63584
2018-05-16 20:40:26.391362|INFO    |VirtualServerBase|  1| client disconnected 'Somnus'(id:785) reason 'reasonmsg=lata'
2018-05-17 00:31:36.233243|INFO    |VirtualServerBase|  1| client connected 'Somnus'(id:785) from 173.91.151.15:54585
2018-05-17 00:47:58.985061|INFO    |VirtualServerBase|  1| client connected 'Dark'(id:767) from 173.91.223.150:54965
2018-05-17 00:58:52.649210|INFO    |VirtualServerBase|  1| client connected 'Ursus'(id:949) from 76.189.40.156:58587
2018-05-17 02:52:20.709197|INFO    |VirtualServerBase|  1| client disconnected 'Dark'(id:767) reason 'reasonmsg=leaving'
2018-05-17 06:40:36.727025|INFO    |VirtualServerBase|  1| client disconnected 'Somnus'(id:785) reason 'reasonmsg=lata'
2018-05-17 18:13:22.214392|INFO    |VirtualServerBase|  1| client connected 'Somnus'(id:785) from 173.91.151.15:52797
2018-05-17 18:14:11.010338|INFO    |VirtualServerBase|  1| client disconnected 'Somnus'(id:785) reason 'reasonmsg=lata'
2018-05-17 20:02:03.798640|INFO    |VirtualServerBase|  1| client disconnected 'Vish'(id:349) reason 'reasonmsg=leaving'
2018-05-17 21:07:18.960841|INFO    |VirtualServerBase|  1| client connected 'Vish'(id:349) from 24.164.121.7:55403
2018-05-18 02:40:40.129466|INFO    |VirtualServerBase|  1| client connected 'Somnus'(id:785) from 173.91.151.15:52571
2018-05-18 03:01:59.305989|INFO    |VirtualServerBase|  1| client disconnected 'Somnus'(id:785) reason 'reasonmsg=lata'
2018-05-18 03:19:37.098963|INFO    |VirtualServerBase|  1| client connected 'James'(id:1339) from 68.12.111.106:60784
2018-05-18 03:19:41.695748|INFO    |VirtualServerBase|  1| client disconnected 'James'(id:1339) reason 'reasonmsg=leaving'
2018-05-18 03:55:34.303976|INFO    |VirtualServerBase|  1| client connected 'Somnus'(id:785) from 173.91.151.15:60736
2018-05-18 04:26:41.769131|INFO    |VirtualServerBase|  1| client disconnected 'Vish'(id:349) reason 'reasonmsg=connection lost'
2018-05-18 04:26:41.769131|INFO    |VirtualServerBase|  1| client disconnected 'Ursus'(id:949) reason 'reasonmsg=connection lost'
2018-05-18 04:26:41.769131|INFO    |VirtualServerBase|  1| client disconnected 'Somnus'(id:785) reason 'reasonmsg=connection lost'
2018-05-18 04:27:23.450481|INFO    |VirtualServerBase|  1| client connected 'Somnus'(id:785) from 173.91.151.15:60736
2018-05-18 04:27:24.047397|INFO    |VirtualServerBase|  1| client connected 'Ursus'(id:949) from 76.189.40.156:58587
2018-05-18 04:27:24.156794|INFO    |VirtualServerBase|  1| client connected 'Vish'(id:349) from 24.164.121.7:55403
2018-05-18 07:06:36.934491|INFO    |VirtualServerBase|  1| client disconnected 'Somnus'(id:785) reason 'reasonmsg=lata'
2018-05-18 18:22:29.674427|INFO    |VirtualServerBase|  1| client disconnected 'Ursus'(id:949) reason 'reasonmsg=connection lost'
2018-05-18 18:22:29.674427|INFO    |VirtualServerBase|  1| client disconnected 'Vish'(id:349) reason 'reasonmsg=connection lost'
2018-05-18 18:23:12.652476|INFO    |VirtualServerBase|  1| client connected 'Vish'(id:349) from 24.164.121.7:55403
2018-05-18 18:23:14.074365|INFO    |VirtualServerBase|  1| client connected 'Ursus'(id:949) from 76.189.40.156:58587
2018-05-18 21:08:13.815048|INFO    |VirtualServerBase|  1| client disconnected 'Vish'(id:349) reason 'reasonmsg=connection lost'
2018-05-18 21:08:13.815048|INFO    |VirtualServerBase|  1| client disconnected 'Ursus'(id:949) reason 'reasonmsg=connection lost'
2018-05-18 21:10:10.893087|INFO    |VirtualServerBase|  1| client connected 'Ursus'(id:949) from 76.189.40.156:58587
2018-05-18 21:10:10.986838|INFO    |VirtualServerBase|  1| client connected 'Vish'(id:349) from 24.164.121.7:55403
2018-05-19 05:07:42.836031|INFO    |VirtualServerBase|  1| client connected 'Somnus'(id:785) from 173.91.151.15:61140
2018-05-19 07:17:30.097409|INFO    |VirtualServerBase|  1| client disconnected 'Somnus'(id:785) reason 'reasonmsg=lata'
2018-05-19 14:11:27.860184|INFO    |VirtualServerBase|  1| client disconnected 'Ursus'(id:949) reason 'reasonmsg=connection lost'
2018-05-19 21:35:24.939459|INFO    |VirtualServerBase|  1| client connected 'Dark'(id:767) from 173.91.223.150:54060
2018-05-19 21:58:08.688893|INFO    |VirtualServerBase|  1| client connected 'Somnus'(id:785) from 173.91.151.15:55087
2018-05-19 21:59:33.631084|INFO    |VirtualServerBase|  1| client connected 'Ursus'(id:949) from 76.189.40.156:58587
2018-05-20 00:46:11.130387|INFO    |VirtualServerBase|  1| client disconnected 'Dark'(id:767) reason 'reasonmsg=connection lost'
2018-05-20 00:48:16.281803|INFO    |VirtualServerBase|  1| client connected 'Dark'(id:767) from 173.91.223.150:54060
2018-05-20 06:00:54.594922|INFO    |VirtualServerBase|  1| client disconnected 'Dark'(id:767) reason 'reasonmsg=leaving'
2018-05-20 07:38:53.297751|INFO    |VirtualServerBase|  1| client disconnected 'Somnus'(id:785) reason 'reasonmsg=lata'
2018-05-20 18:56:54.542605|INFO    |VirtualServerBase|  1| client connected 'Somnus'(id:785) from 173.91.151.15:61232
2018-05-20 20:30:07.983867|INFO    |VirtualServerBase|  1| client disconnected 'Somnus'(id:785) reason 'reasonmsg=lata'
2018-05-20 22:40:43.054580|INFO    |VirtualServerBase|  1| client connected 'Somnus'(id:785) from 173.91.151.15:51640
2018-05-21 07:41:30.381617|INFO    |VirtualServerBase|  1| client disconnected 'Ursus'(id:949) reason 'reasonmsg=leaving'
2018-05-21 13:36:26.262382|INFO    |VirtualServerBase|  1| client disconnected 'Somnus'(id:785) reason 'reasonmsg=lata'
2018-05-21 14:57:30.568584|INFO    |VirtualServerBase|  1| client connected 'Ursus'(id:949) from 76.189.40.156:58587
2018-05-21 16:44:56.976762|INFO    |VirtualServerBase|  1| client disconnected 'Ursus'(id:949) reason 'reasonmsg=connection lost'
2018-05-21 16:44:56.976762|INFO    |VirtualServerBase|  1| client disconnected 'Vish'(id:349) reason 'reasonmsg=connection lost'
2018-05-21 16:44:58.414258|INFO    |VirtualServerBase|  1| client connected 'Vish'(id:349) from 24.164.121.7:55403
2018-05-21 16:45:00.148636|INFO    |VirtualServerBase|  1| client connected 'Ursus'(id:949) from 76.189.40.156:58587
2018-05-22 02:41:09.228133|INFO    |VirtualServerBase|  1| client connected 'Somnus'(id:785) from 173.91.151.15:64550
2018-05-22 08:00:00.066407|INFO    |VirtualServerBase|  1| client disconnected 'Somnus'(id:785) reason 'reasonmsg=lata'
2018-05-22 13:32:30.094268|INFO    |VirtualServerBase|  1| client disconnected 'Vish'(id:349) reason 'reasonmsg=connection lost'
2018-05-22 13:32:30.094268|INFO    |VirtualServerBase|  1| client disconnected 'Ursus'(id:949) reason 'reasonmsg=connection lost'
