2018-07-25 22:57:50.408772|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.2.0 (2018-05-08 06:11:20)
2018-07-25 22:57:50.408913|INFO    |ServerLibPriv |   |SystemInformation: Linux 4.9.0-6-amd64 #1 SMP Debian 4.9.88-1+deb9u1 (2018-05-07) x86_64 Binary: 64bit
2018-07-25 22:57:50.410703|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2018-07-25 22:57:50.410856|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2018-07-25 22:57:50.411496|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2018-07-25 22:57:50.443401|INFO    |SQL           |   |db_CreateTables() tables created
2018-07-25 22:57:50.522757|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2018-07-25 22:57:50.528343|INFO    |Accounting    |   |Licensing Information
2018-07-25 22:57:50.528456|INFO    |Accounting    |   |licensed to       : Anonymous
2018-07-25 22:57:50.528514|INFO    |Accounting    |   |type              : No License
2018-07-25 22:57:50.528581|INFO    |Accounting    |   |starting date     : Wed May 31 22:00:00 2017
2018-07-25 22:57:50.528670|INFO    |Accounting    |   |ending date       : Fri Aug 31 22:00:00 2018
2018-07-25 22:57:50.528747|INFO    |Accounting    |   |max virtualservers: 1
2018-07-25 22:57:50.528835|INFO    |Accounting    |   |max slots         : 32
2018-07-25 22:57:51.735428|INFO    |              |   |Puzzle precompute time: 1138
2018-07-25 22:57:51.736468|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2018-07-25 22:57:51.738291|INFO    |VirtualSvrMgr |   |executing monthly interval
2018-07-25 22:57:51.738763|INFO    |VirtualSvrMgr |   |reset virtualserver traffic statistics
2018-07-25 22:57:51.800251|INFO    |CIDRManager   |   |updated query_ip_whitelist ips: 127.0.0.1/32, ::1/128, 
2018-07-25 22:57:51.801641|INFO    |Query         |   |listening on 0.0.0.0:10011, [::]:10011
2018-07-25 22:58:00.057512|INFO    |ServerMain    |   |Received signal SIGINT, shutting down.
