2016-01-06 03:41:15.449229|INFO    |VirtualServer |  1| listening on 0.0.0.0:9987
2016-01-06 03:41:16.234408|INFO    |VirtualServerBase|  1| client connected 'ross'(id:397) from 107.129.31.5:29549
2016-01-06 03:41:16.842289|INFO    |VirtualServerBase|  1| client connected 'Mitch'(id:603) from 108.222.81.129:1024
2016-01-06 03:41:22.052765|INFO    |VirtualServerBase|  1| client connected 'Clint'(id:631) from 108.237.6.189:58066
2016-01-06 03:41:24.105194|INFO    |VirtualServerBase|  1| client connected 'ross1'(id:492) from 107.129.31.5:50752
2016-01-06 03:42:07.020010|INFO    |VirtualServerBase|  1| client disconnected 'ross1'(id:492) reason 'reasonmsg=leaving'
2016-01-06 03:42:18.248353|INFO    |VirtualServerBase|  1| client connected 'ross1'(id:492) from 107.129.31.5:11382
2016-01-06 03:42:54.507391|INFO    |VirtualServerBase|  1| client disconnected 'ross1'(id:492) reason 'reasonmsg=leaving'
2016-01-06 03:43:37.679844|INFO    |VirtualServerBase|  1| client connected 'ross1'(id:492) from 107.129.31.5:14881
2016-01-06 03:44:00.277707|INFO    |VirtualServerBase|  1| client disconnected 'ross1'(id:492) reason 'reasonmsg=leaving'
2016-01-06 03:44:15.817827|INFO    |VirtualServerBase|  1| client connected 'ross1'(id:492) from 107.129.31.5:34862
2016-01-06 03:44:33.546702|INFO    |VirtualServerBase|  1| client disconnected 'ross'(id:397) reason 'reasonmsg=leaving'
2016-01-06 03:44:40.975523|INFO    |VirtualServerBase|  1| client disconnected 'ross1'(id:492) reason 'reasonmsg=leaving'
2016-01-06 03:44:49.923577|INFO    |VirtualServerBase|  1| client connected 'ross'(id:492) from 107.129.31.5:23520
2016-01-06 03:49:33.080149|INFO    |VirtualServerBase|  1| client connected 'Dark'(id:276) from 107.10.51.255:54364
2016-01-06 04:30:19.842075|INFO    |VirtualServerBase|  1| client connected 'Ritsu'(id:349) from 24.166.34.49:62367
2016-01-06 05:02:56.059661|INFO    |VirtualServerBase|  1| client connected 'Rudy'(id:100) from 205.237.133.150:61340
2016-01-06 05:03:45.527637|INFO    |VirtualServerBase|  1| client connected 'Tyler'(id:271) from 68.0.78.148:49758
2016-01-06 05:05:18.925409|INFO    |VirtualServerBase|  1| client disconnected 'Rudy'(id:100) reason 'reasonmsg=connection lost'
2016-01-06 05:05:22.493643|INFO    |VirtualServerBase|  1| client connected 'Rudy'(id:100) from 205.237.133.150:61340
