2015-12-18 13:56:56.654314|INFO    |VirtualServer |  1| listening on 0.0.0.0:9987
2015-12-18 13:57:01.832606|INFO    |VirtualServerBase|  1| client connected 'Mitch'(id:603) from 108.222.81.129:60386
2015-12-18 13:57:01.835606|INFO    |VirtualServerBase|  1| client connected 'Schizm1'(id:613) from 65.25.105.36:58886
2015-12-18 14:08:08.847733|INFO    |VirtualServerBase|  1| client disconnected 'Schizm1'(id:613) reason 'reasonmsg=connection lost'
2015-12-18 14:08:10.991260|INFO    |VirtualServerBase|  1| client connected 'Schizm1'(id:613) from 65.25.105.36:58886
2015-12-18 14:43:08.965193|INFO    |VirtualServerBase|  1| client disconnected 'Schizm1'(id:613) reason 'reasonmsg=connection lost'
2015-12-18 14:43:11.487338|INFO    |VirtualServerBase|  1| client connected 'Schizm1'(id:613) from 65.25.105.36:58886
2015-12-18 16:53:09.685288|INFO    |VirtualServerBase|  1| client disconnected 'Schizm1'(id:613) reason 'reasonmsg=connection lost'
2015-12-18 16:53:11.389575|INFO    |VirtualServerBase|  1| client connected 'Schizm1'(id:613) from 65.25.105.36:58886
2015-12-18 18:28:09.426317|INFO    |VirtualServerBase|  1| client disconnected 'Schizm1'(id:613) reason 'reasonmsg=connection lost'
2015-12-18 18:28:11.170419|INFO    |VirtualServerBase|  1| client connected 'Schizm1'(id:613) from 65.25.105.36:58886
2015-12-18 18:38:09.631125|INFO    |VirtualServerBase|  1| client disconnected 'Schizm1'(id:613) reason 'reasonmsg=connection lost'
2015-12-18 18:38:11.311220|INFO    |VirtualServerBase|  1| client connected 'Schizm1'(id:613) from 65.25.105.36:58886
2015-12-18 19:03:05.538617|INFO    |VirtualServerBase|  1| client disconnected 'Schizm1'(id:613) reason 'reasonmsg=connection lost'
2015-12-18 19:03:08.745803|INFO    |VirtualServerBase|  1| client connected 'Schizm1'(id:613) from 65.25.105.36:58886
2015-12-18 20:23:09.349454|INFO    |VirtualServerBase|  1| client disconnected 'Schizm1'(id:613) reason 'reasonmsg=connection lost'
2015-12-18 20:23:12.000582|INFO    |VirtualServerBase|  1| client connected 'Schizm1'(id:613) from 65.25.105.36:58886
2015-12-18 20:31:10.319398|INFO    |VirtualServerBase|  1| client connected 'Somnus'(id:480) from 107.10.55.6:52051
2015-12-18 20:31:22.564571|INFO    |VirtualServerBase|  1| client disconnected 'Somnus'(id:480) reason 'reasonmsg=leaving'
2015-12-18 21:07:22.902464|INFO    |VirtualServerBase|  1| client disconnected 'Mitch'(id:603) reason 'reasonmsg=connection lost'
2015-12-18 21:07:23.914551|INFO    |VirtualServerBase|  1| client disconnected 'Schizm1'(id:613) reason 'reasonmsg=connection lost'
2015-12-18 21:07:40.611653|INFO    |VirtualServerBase|  1| client connected 'Mitch'(id:603) from 108.222.81.129:60386
2015-12-18 21:07:46.731211|INFO    |VirtualServerBase|  1| client connected 'Schizm1'(id:613) from 65.25.105.36:58886
2015-12-19 00:45:24.061728|INFO    |VirtualServerBase|  1| client connected 'XxAnimeFreakxX'(id:610) from 76.200.121.131:52676
2015-12-19 00:45:48.875904|INFO    |VirtualServerBase|  1| client disconnected 'XxAnimeFreakxX'(id:610) reason 'reasonmsg=leaving'
2015-12-19 00:53:03.037097|INFO    |VirtualServerBase|  1| client connected 'Logan'(id:625) from 73.232.134.155:51737
2015-12-19 00:53:59.213389|INFO    |VirtualServerBase|  1| client connected 'Moddedkev'(id:626) from 70.27.48.182:55257
2015-12-19 01:16:25.441863|INFO    |VirtualServerBase|  1| client connected 'Ritsu'(id:349) from 24.166.34.49:53685
2015-12-19 01:16:30.187186|INFO    |VirtualServerBase|  1| client disconnected 'Ritsu'(id:349) reason 'reasonmsg=leaving'
2015-12-19 01:23:41.253830|INFO    |VirtualServerBase|  1| client disconnected 'Logan'(id:625) reason 'reasonmsg=leaving'
2015-12-19 01:23:41.425671|INFO    |VirtualServerBase|  1| client disconnected 'Moddedkev'(id:626) reason 'reasonmsg=leaving'
2015-12-19 02:17:41.640377|INFO    |VirtualServerBase|  1| client connected 'Somnus'(id:480) from 107.10.55.6:57136
2015-12-19 02:17:53.320993|INFO    |VirtualServerBase|  1| client disconnected 'Somnus'(id:480) reason 'reasonmsg=leaving'
2015-12-19 02:19:44.405435|INFO    |VirtualServerBase|  1| client connected 'Ritsu'(id:349) from 24.166.34.49:59574
2015-12-19 03:20:32.685217|INFO    |VirtualServerBase|  1| client connected 'ross'(id:492) from 107.129.31.5:44938
2015-12-19 03:35:05.240147|INFO    |VirtualServerBase|  1| client connected 'OBERMOFUCKINGLEUTNANT'(id:598) from 24.171.29.95:59192
2015-12-19 03:37:11.810258|INFO    |VirtualServerBase|  1| client connected 'Albrecht Stabler'(id:600) from 99.41.160.106:58104
2015-12-19 04:06:14.161234|INFO    |VirtualServerBase|  1| client disconnected 'Albrecht Stabler'(id:600) reason 'reasonmsg=leaving'
2015-12-19 04:06:52.096293|INFO    |VirtualServerBase|  1| client connected 'Stabler'(id:600) from 99.41.160.106:51187
