2016-12-09 20:03:09.829101|INFO    |VirtualServer |  1| listening on 0.0.0.0:9987
2016-12-10 21:17:18.378906|INFO    |VirtualServerBase|  1| channel 'Call Of Duty 4x'(id:13) edited by 'ross'(id:397)
2016-12-12 15:28:01.707734|INFO    |VirtualServerBase|  1| server was edited by 'wagex'(id:6)
2016-12-13 18:32:07.500703|INFO    |VirtualServerBase|  1| server was edited by 'wagex'(id:6)
2016-12-13 18:32:23.406953|INFO    |VirtualServerBase|  1| channel 'cod4x channel 1'(id:327) created as sub channel of 'Call Of Duty 4x'(id:13) by 'wagex'(id:6)
2016-12-13 18:32:33.625703|INFO    |VirtualServerBase|  1| channel 'cod4x channel 2'(id:328) created as sub channel of 'Call Of Duty 4x'(id:13) by 'wagex'(id:6)
2016-12-13 18:32:33.703828|INFO    |VirtualServerBase|  1| channel 'cod4x channel 1'(id:327) deleted by 'server'(id:0)
2016-12-13 18:32:40.406953|INFO    |VirtualServerBase|  1| channel 'cod4x channel 2'(id:328) edited by 'wagex'(id:6)
2016-12-13 18:32:55.126679|INFO    |VirtualServerBase|  1| channel 'cod4x channel 1'(id:329) created as sub channel of 'Call Of Duty 4x'(id:13) by 'wagex'(id:6)
2016-12-13 18:38:02.434296|INFO    |VirtualServerBase|  1| channel 'cod4x infinite s&d'(id:329) edited by 'wagex'(id:6)
2016-12-13 18:48:50.033906|INFO    |VirtualServer |  1| file upload to (id:0), '/icon_1786302920' by client 'wagex'(id:6)
2016-12-13 18:48:53.252656|INFO    |VirtualServer |  1| permission 'i_icon_id'(id:142) with values (value:1786302920) was added by 'wagex'(id:6) to channel 'cod4x infinite s&d'(id:329)
2016-12-13 18:48:53.283906|INFO    |VirtualServerBase|  1| channel 'cod4x infinite s&d'(id:329) edited by 'wagex'(id:6)
2016-12-13 18:49:25.317109|INFO    |VirtualServer |  1| file upload to (id:0), '/icon_1463188583' by client 'wagex'(id:6)
2016-12-13 18:49:28.379609|INFO    |VirtualServerBase|  1| channel 'cod4x infinite jumper mod'(id:328) edited by 'wagex'(id:6)
2016-12-13 18:49:28.395234|INFO    |VirtualServer |  1| permission 'i_icon_id'(id:142) with values (value:1463188583) was added by 'wagex'(id:6) to channel 'cod4x infinite jumper mod'(id:328)
2016-12-13 18:49:28.410859|INFO    |VirtualServerBase|  1| channel 'cod4x infinite jumper mod'(id:328) edited by 'wagex'(id:6)
2016-12-13 18:51:54.682343|INFO    |VirtualServer |  1| servergroup 'cold as ice'(id:24) was deleted by 'wagex'(id:6)
2016-12-13 18:52:15.197968|INFO    |VirtualServer |  1| servergroup 'JDub'(id:16) was deleted by 'wagex'(id:6)
2016-12-13 18:52:19.417695|INFO    |VirtualServer |  1| servergroup 'JC'(id:13) was deleted by 'wagex'(id:6)
2016-12-13 18:52:26.730195|INFO    |VirtualServer |  1| servergroup 'Dac'(id:17) was deleted by 'wagex'(id:6)
