2018-03-27 20:56:52 status installed libhogweed2:amd64 2.7.1-5+deb8u2
2018-03-27 20:56:52 configure libffi6:amd64 3.1-2+deb8u1 <none>
2018-03-27 20:56:52 status unpacked libffi6:amd64 3.1-2+deb8u1
2018-03-27 20:56:52 status half-configured libffi6:amd64 3.1-2+deb8u1
2018-03-27 20:56:52 status installed libffi6:amd64 3.1-2+deb8u1
2018-03-27 20:56:52 configure libp11-kit0:amd64 0.20.7-1 <none>
2018-03-27 20:56:52 status unpacked libp11-kit0:amd64 0.20.7-1
2018-03-27 20:56:52 status half-configured libp11-kit0:amd64 0.20.7-1
2018-03-27 20:56:52 status installed libp11-kit0:amd64 0.20.7-1
2018-03-27 20:56:52 configure libtasn1-6:amd64 4.2-3+deb8u3 <none>
2018-03-27 20:56:52 status unpacked libtasn1-6:amd64 4.2-3+deb8u3
2018-03-27 20:56:52 status half-configured libtasn1-6:amd64 4.2-3+deb8u3
2018-03-27 20:56:52 status installed libtasn1-6:amd64 4.2-3+deb8u3
2018-03-27 20:56:52 configure libgnutls-deb0-28:amd64 3.3.8-6+deb8u7 <none>
2018-03-27 20:56:52 status unpacked libgnutls-deb0-28:amd64 3.3.8-6+deb8u7
2018-03-27 20:56:52 status half-configured libgnutls-deb0-28:amd64 3.3.8-6+deb8u7
2018-03-27 20:56:52 status installed libgnutls-deb0-28:amd64 3.3.8-6+deb8u7
2018-03-27 20:56:52 configure libidn11:amd64 1.29-1+deb8u2 <none>
2018-03-27 20:56:52 status unpacked libidn11:amd64 1.29-1+deb8u2
2018-03-27 20:56:52 status half-configured libidn11:amd64 1.29-1+deb8u2
2018-03-27 20:56:52 status installed libidn11:amd64 1.29-1+deb8u2
2018-03-27 20:56:52 configure libicu52:amd64 52.1-8+deb8u7 <none>
2018-03-27 20:56:52 status unpacked libicu52:amd64 52.1-8+deb8u7
2018-03-27 20:56:52 status half-configured libicu52:amd64 52.1-8+deb8u7
2018-03-27 20:56:52 status installed libicu52:amd64 52.1-8+deb8u7
2018-03-27 20:56:52 configure libpsl0:amd64 0.5.1-1 <none>
2018-03-27 20:56:52 status unpacked libpsl0:amd64 0.5.1-1
2018-03-27 20:56:52 status half-configured libpsl0:amd64 0.5.1-1
2018-03-27 20:56:52 status installed libpsl0:amd64 0.5.1-1
2018-03-27 20:56:52 configure wget:amd64 1.16-1+deb8u4 <none>
2018-03-27 20:56:52 status unpacked wget:amd64 1.16-1+deb8u4
2018-03-27 20:56:52 status unpacked wget:amd64 1.16-1+deb8u4
2018-03-27 20:56:52 status half-configured wget:amd64 1.16-1+deb8u4
2018-03-27 20:56:52 status installed wget:amd64 1.16-1+deb8u4
2018-03-27 20:56:52 configure bzip2:amd64 1.0.6-7+b3 <none>
2018-03-27 20:56:52 status unpacked bzip2:amd64 1.0.6-7+b3
2018-03-27 20:56:52 status half-configured bzip2:amd64 1.0.6-7+b3
2018-03-27 20:56:52 status installed bzip2:amd64 1.0.6-7+b3
2018-03-27 20:56:52 configure openssl:amd64 1.0.1t-1+deb8u7 <none>
2018-03-27 20:56:52 status unpacked openssl:amd64 1.0.1t-1+deb8u7
2018-03-27 20:56:53 status unpacked openssl:amd64 1.0.1t-1+deb8u7
2018-03-27 20:56:53 status half-configured openssl:amd64 1.0.1t-1+deb8u7
2018-03-27 20:56:53 status installed openssl:amd64 1.0.1t-1+deb8u7
2018-03-27 20:56:53 configure ca-certificates:all 20141019+deb8u3 <none>
2018-03-27 20:56:53 status unpacked ca-certificates:all 20141019+deb8u3
2018-03-27 20:56:53 status half-configured ca-certificates:all 20141019+deb8u3
2018-03-27 20:57:03 status installed ca-certificates:all 20141019+deb8u3
2018-03-27 20:57:03 status triggers-pending ca-certificates:all 20141019+deb8u3
2018-03-27 20:57:03 trigproc libc-bin:amd64 2.19-18+deb8u10 <none>
2018-03-27 20:57:03 status half-configured libc-bin:amd64 2.19-18+deb8u10
2018-03-27 20:57:03 status installed libc-bin:amd64 2.19-18+deb8u10
2018-03-27 20:57:03 trigproc ca-certificates:all 20141019+deb8u3 <none>
2018-03-27 20:57:03 status half-configured ca-certificates:all 20141019+deb8u3
2018-03-27 20:57:05 status installed ca-certificates:all 20141019+deb8u3
2018-03-27 20:57:07 startup packages configure
